token,lemma,pos
THIS,this,DET
SIDE,side,NOUN
OF,of,ADP
PARADISE,paradise,PROPN
By,by,ADP
F.,F.,PROPN
Scott,Scott,PROPN
Fitzgerald,Fitzgerald,PROPN
...,...,SYM
Well,well,INTJ
this,this,DET
side,side,NOUN
of,of,ADP
Paradise,paradise,NOUN
!...,!...,PUNCT
There,there,PRON
's,be,VERB
little,little,ADJ
comfort,comfort,NOUN
in,in,ADP
the,the,DET
wise,wise,NOUN
.,.,PUNCT
--,--,PUNCT
Rupert,Rupert,PROPN
Brooke,Brooke,PROPN
.,.,PUNCT
Experience,experience,NOUN
is,be,AUX
the,the,DET
name,name,NOUN
so,so,ADV
many,many,ADJ
people,people,NOUN
give,give,VERB
to,to,ADP
their,they,PRON
mistakes,mistake,NOUN
.,.,PUNCT
--,--,PUNCT
Oscar,Oscar,PROPN
Wilde,Wilde,PROPN
.,.,PUNCT
To,to,ADP
SIGOURNEY,SIGOURNEY,PROPN
FAY,FAY,PROPN
CONTENTS,contents,NOUN
BOOK,book,INTJ
ONE,one,NUM
:,:,PUNCT
The,the,DET
Romantic,romantic,PROPN
Egotist,Egotist,PROPN
1,1,X
.,.,PUNCT
AMORY,Amory,INTJ
",",",",PUNCT
SON,son,PROPN
OF,of,ADP
BEATRICE,BEATRICE,PROPN
2,2,X
.,.,PUNCT
SPIRES,sPIREs,NOUN
AND,and,CCONJ
GARGOYLES,Gargoyle,NOUN
3,3,X
.,.,PUNCT
THE,the,DET
EGOTIST,EGOTIST,ADJ
CONSIDERS,consider,NOUN
4,4,X
.,.,PUNCT
NARCISSUS,NARCISSUS,PROPN
OFF,off,PROPN
DUTY,duty,PROPN
[,[,PUNCT
INTERLUDE,Interlude,VERB
:,:,PUNCT
MAY,May,VERB
",",",",PUNCT
1917,1917,NUM
-FEBRUARY,-FEBRUARy,NOUN
",",",",PUNCT
1919,1919,NUM
.,.,PUNCT
],],PUNCT
BOOK,book,INTJ
TWO,two,NUM
:,:,PUNCT
The,the,DET
Education,Education,NOUN
of,of,ADP
a,a,DET
Personage,Personage,NOUN
1,1,X
.,.,PUNCT
THE,the,DET
DEBUTANTE,Debutante,NOUN
2,2,X
.,.,PUNCT
EXPERIMENTS,experiment,NOUN
IN,in,ADP
CONVALESCENCE,CONVALESCENCE,PROPN
3,3,X
.,.,PUNCT
YOUNG,young,ADP
IRONY,irony,PROPN
4,4,X
.,.,PUNCT
THE,the,DET
SUPERCILIOUS,SUPERCILIOUS,PROPN
SACRIFICE,sacrifice,PROPN
5,5,X
.,.,PUNCT
THE,the,DET
EGOTIST,EGOTIST,PROPN
BECOMES,become,PROPN
A,a,PROPN
PERSONAGE,PERSONAGE,PROPN
BOOK,book,INTJ
ONE,one,NUM
--,--,PUNCT
The,the,DET
Romantic,romantic,PROPN
Egotist,Egotist,PROPN
CHAPTER,chapter,NOUN
1,1,NUM
.,.,PUNCT
Amory,Amory,NOUN
",",",",PUNCT
Son,son,PROPN
of,of,ADP
Beatrice,Beatrice,PROPN
Amory,Amory,PROPN
Blaine,Blaine,PROPN
inherited,inherit,VERB
from,from,ADP
his,he,PRON
mother,mother,NOUN
every,every,DET
trait,trait,NOUN
",",",",PUNCT
except,except,ADP
the,the,DET
stray,stray,ADJ
inexpressible,inexpressible,ADJ
few,few,ADJ
",",",",PUNCT
that,that,PRON
made,make,VERB
him,he,PRON
worth,worth,ADJ
while,while,NOUN
.,.,PUNCT
His,he,PRON
father,father,NOUN
",",",",PUNCT
an,a,DET
ineffectual,ineffectual,ADJ
",",",",PUNCT
inarticulate,inarticulate,ADJ
man,man,NOUN
with,with,ADP
a,a,DET
taste,taste,NOUN
for,for,ADP
Byron,Byron,PROPN
and,and,CCONJ
a,a,DET
habit,habit,NOUN
of,of,ADP
drowsing,drowse,VERB
over,over,ADP
the,the,DET
Encyclopedia,Encyclopedia,PROPN
Britannica,Britannica,PROPN
",",",",PUNCT
grew,grow,VERB
wealthy,wealthy,ADV
at,at,ADP
thirty,thirty,NUM
through,through,ADP
the,the,DET
death,death,NOUN
of,of,ADP
two,two,NUM
elder,elder,ADJ
brothers,brother,NOUN
",",",",PUNCT
successful,successful,ADJ
Chicago,Chicago,PROPN
brokers,broker,NOUN
",",",",PUNCT
and,and,CCONJ
in,in,ADP
the,the,DET
first,first,ADJ
flush,flush,NOUN
of,of,ADP
feeling,feeling,NOUN
that,that,SCONJ
